data,Qin,P1,T1,T2,RH1,P15
29/04/2002,1.448,0,11.143,12.548,66.317,
30/04/2002,1.341,0,12.75,14.71,68.693,
1/5/2002,1.17,0.2,14.755,16.701,63.155,
2/5/2002,1.148,0.4,13.542,14.866,77.593,
3/5/2002,1.047,2.6,13.669,15.684,80.566,
4/5/2002,4.348,35,9.215,11.774,70.607,
5/5/2002,2.827,4.4,7.179,10.558,60.987,
6/5/2002,2.055,0.2,8.857,10.61,77.594,
7/5/2002,1.547,0,10.67,12.376,69.236,
8/5/2002,2.541,16.8,9.564,11.12,93.395,
9/5/2002,4.517,11.2,10.724,12.969,84.733,
10/5/2002,3.414,0.2,11.615,13.569,80.81,
11/5/2002,3.484,6.2,11.163,12.116,92.716,
12/5/2002,4.431,5.6,10.709,12.505,90.196,
13/05/2002,3.6,0.4,12.604,14.751,76.024,
14/05/2002,2.518,0,14.227,16.436,59.275,
15/05/2002,1.881,0.2,16.495,17.7,72.025,
16/05/2002,1.686,0.2,18.218,19.234,72.983,
17/05/2002,1.313,0.2,18.871,20.577,65.244,
18/05/2002,1.045,0,17.469,19.538,49.443,
19/05/2002,1.346,10.4,12.459,13.755,80.606,
20/05/2002,0.902,0.2,12.678,14.677,83.524,
21/05/2002,1.041,7.8,14.124,16.061,79.527,
22/05/2002,0.957,0.4,17.28,19.075,74.026,
23/05/2002,0.787,0.4,15.558,17,84.438,
24/05/2002,0.921,5.2,13.213,15.025,84.818,
25/05/2002,0.766,0.8,14.353,16.355,88.028,
26/05/2002,0.747,0.2,14.855,17.507,62.109,
27/05/2002,0.741,15.6,11.609,13.446,70.331,
28/05/2002,1.856,11,8.525,12.526,64.9,
29/05/2002,1.12,0.2,14.209,16.025,59.811,
30/05/2002,0.737,0.2,17.638,19.25,64.855,
31/05/2002,0.667,0.2,18.172,19.383,70.276,
1/6/2002,0.715,0.2,18.452,19.628,76.356,
2/6/2002,0.452,0,19.514,21.302,62.194,
3/6/2002,0.541,0,17.376,19.273,59.444,
4/6/2002,0.421,0,17.988,20.287,59.854,
5/6/2002,0.432,0.2,15.783,17.655,59.638,
6/6/2002,0.775,25.6,12.592,15.074,70.637,
7/6/2002,0.787,10,9.756,12.694,60.571,
8/6/2002,0.534,0,12.019,14.944,54.983,
9/6/2002,1.192,18.4,10.989,12.575,90.65,
10/6/2002,0.972,0.2,13.712,16.063,70.4,
11/6/2002,0.701,0.2,16.801,17.817,78.332,
12/6/2002,0.655,0.2,17.759,19.025,76.858,
13/06/2002,0.536,0.4,19.853,21.169,69.774,
14/06/2002,0.471,0,22.505,22.898,60.777,
15/06/2002,0.359,0.2,23.779,24.856,56.862,
16/06/2002,0.321,0,23.768,25.704,47.653,
17/06/2002,0.283,0,24.148,25.291,61.904,
18/06/2002,0.298,0.2,24.813,25.661,62.9,
19/06/2002,0.239,0,23.952,24.56,63.42,
20/06/2002,0.282,0,23.838,24.705,61.988,
21/06/2002,0.218,0.2,24.297,26.046,63.858,
22/06/2002,0.273,0.2,24.283,25.818,65.983,
23/06/2002,0.288,0.2,25.423,26.225,60.028,
24/06/2002,0.197,0,25.374,27.793,57.193,
25/06/2002,0.068,0,20.164,21.043,77.527,
26/06/2002,0.249,0.2,16.934,18.258,71.713,
27/06/2002,0.166,0,20.574,21.895,58.508,
28/06/2002,0.309,15.4,19.379,22.225,69.815,
29/06/2002,0.308,2,15.513,17.165,73.589,
30/06/2002,0.193,4.4,13.591,14.945,80.334,
1/7/2002,0.133,0.2,18.487,19.926,67.225,
2/7/2002,0.082,0,20.575,22.931,62.03,
3/7/2002,0.093,0,20.518,23.272,55.985,
4/7/2002,0,0,18.574,21.238,45.305,
5/7/2002,0.082,0,18.011,19.583,79.03,
6/7/2002,0.046,0.2,17.335,20.152,58.608,
7/7/2002,0.015,0,17.379,19.83,59.649,
8/7/2002,0.052,0,20.309,21.833,58.194,
9/7/2002,0,0,22.1,23.364,58.38,
10/7/2002,0.173,0,22.89,25.177,51.898,
11/7/2002,0,0,22.242,24.349,42.806,
12/7/2002,0.032,0,22.748,24.304,61.073,
13/07/2002,0.239,12.2,21.729,23.827,56.806,
14/07/2002,0.406,16.8,15.53,16.882,93.315,
15/07/2002,2.039,40.8,14.21,15.699,91.484,
16/07/2002,0.863,12.4,13.967,15.828,86.733,
17/07/2002,0.283,0,15.383,18.376,73.688,
18/07/2002,0.725,31.8,17.389,18.842,83.273,
19/07/2002,0.739,2.4,14.806,16.642,83.525,
20/07/2002,0.148,0.2,19.161,20.895,68.107,
21/07/2002,0.17,0.2,21.066,23.186,55.524,
22/07/2002,0,0,21.878,24.096,50.854,
23/07/2002,0.105,0,22.335,23.488,72.901,
24/07/2002,0.037,0,21.245,23.09,73.483,
25/07/2002,0.554,22.6,16.527,17.888,85.732,
26/07/2002,0.448,3.8,14.552,16.481,74.569,
27/07/2002,0.093,0.2,14.46,17.076,73.903,
28/07/2002,0.035,0,17.042,19.41,74.61,
29/07/2002,0.057,0.2,19.944,21.655,74.488,
30/07/2002,0.111,0,20.308,21.783,74.61,
31/07/2002,0.149,22.6,19.104,20.859,84.855,
1/8/2002,0.344,20,18.616,21.723,70.815,
2/8/2002,0.268,0.2,19.535,22.296,66.981,
3/8/2002,0.252,4.4,20.892,22.221,78.405,
4/8/2002,0.295,0,21.445,23.624,62.861,
5/8/2002,0.002,0,20.142,22.908,59.486,
6/8/2002,1.071,35.4,17.319,19.634,72.692,
7/8/2002,0.453,0.4,18.541,20.32,66.733,
8/8/2002,0.059,0.2,19.831,21.043,72.07,
9/8/2002,0.341,17.4,15.392,18.167,77.735,
10/8/2002,3.806,47.6,13.508,15.407,92.459,
11/8/2002,5.967,9.2,12.463,15.347,78.567,
12/8/2002,1.482,0,14.313,17.27,66.361,
13/08/2002,0.747,0,18.95,20.058,66.735,
14/08/2002,0.499,0.4,19.235,20.694,74.108,
15/08/2002,0.113,0.2,19.36,20.941,69.983,
16/08/2002,0.172,0.2,19.419,20.866,69.653,
17/08/2002,0.139,0.4,19.688,21.194,68.318,
18/08/2002,0.101,0.2,19.3,20.766,75.938,
19/08/2002,0.072,0.2,19.326,21.221,75.315,
20/08/2002,0.078,0.2,20.289,22.008,72.061,
21/08/2002,0.075,0,19.54,21.812,78.802,
22/08/2002,0.059,0,18.128,19.479,80.646,
23/08/2002,0.712,16.4,15.99,17.786,90.688,
24/08/2002,0.289,0.2,17.328,19.096,82.734,
25/08/2002,0.145,0,18.541,19.005,90.48,
26/08/2002,0.494,13.2,18.265,19.794,90.19,
27/08/2002,0.55,0.2,17.727,19.149,85.985,
28/08/2002,1.375,42.4,15.261,16.533,90.439,
29/08/2002,1.826,3,13.805,15.598,92.945,
30/08/2002,0.892,6,15.759,17.852,87.113,
31/08/2002,0.453,0.4,16.83,18.943,81.729,
1/9/2002,0.443,0,16.083,18.289,86.901,
2/9/2002,0.225,0.2,15.439,17.499,86.319,
3/9/2002,0.109,0.8,15.654,16.74,86.549,
4/9/2002,0.19,0.6,16.051,17.785,84.903,
5/9/2002,0.102,0.8,14.183,16.035,88.568,
6/9/2002,1.847,17.6,13.253,14.595,93.752,
7/9/2002,2.036,9.6,13.567,15.096,90.938,
8/9/2002,1.211,3.6,14.926,16.135,86.192,
9/9/2002,0.881,0.4,17.152,18.739,80.27,
10/9/2002,0.598,0.4,16.6,18.054,83.525,
11/9/2002,0.319,2,14.435,16.079,92.941,
12/9/2002,0.245,2,13.224,15.176,85.69,
13/09/2002,0.088,0,11.307,13.376,79.356,
14/09/2002,0.167,0.4,10.943,13.035,79.443,
15/09/2002,0.135,0.2,14.327,15.445,69.12,
16/09/2002,0.058,0.2,13.822,15.78,80.315,
17/09/2002,0.19,1,14.83,17.094,76.397,
18/09/2002,0.071,0.2,15.903,18.393,75.36,
19/09/2002,0.133,0,16.641,19.411,72.153,
20/09/2002,0.119,0,17.157,19.683,78.107,
21/09/2002,0.081,3.8,16.366,18.979,83.983,
22/09/2002,1.166,24,13.775,15.412,96.107,
23/09/2002,7.475,36.8,9.725,10.881,95.901,
24/09/2002,5.194,10,7.929,9.317,93.444,
25/09/2002,2.765,7.6,8.29,9.343,92.798,
26/09/2002,1.984,3,8.222,9.878,83.853,
27/09/2002,1.239,0.2,10.418,11.882,76.691,
28/09/2002,0.923,0.6,8.048,9.652,83.398,
29/09/2002,0.794,2.8,6.173,8.283,83.241,
30/09/2002,0.399,0,8.452,10.97,77.459,
1/10/2002,0.238,0.2,9.848,11.856,75.759,
2/10/2002,0.22,0.4,12.441,13.419,74.924,
3/10/2002,0.184,0.2,13.06,14.408,78.104,
4/10/2002,0.297,0.2,11.712,13.451,85.028,
5/10/2002,0.34,0.2,10.952,12.697,85.484,
6/10/2002,0.396,9.6,12.07,14.677,82.364,
7/10/2002,0.641,0.4,9.975,12.067,83.478,
8/10/2002,0.211,0.6,11.631,12.942,87.485,
9/10/2002,0.37,8,11.752,13.038,94.44,
10/10/2002,1.356,23.6,12.33,13.277,97.99,
11/10/2002,4.943,22,11.124,12.484,95.152,
12/10/2002,2.677,13.6,9.155,10.372,94.565,
13/10/2002,3.124,0.2,10.108,11.847,86.235,
14/10/2002,1.823,0.2,12.268,14.064,84.859,
15/10/2002,1.272,0,12.641,15.194,81.023,
16/10/2002,0.967,0,12.903,15.337,77.733,
17/10/2002,1.976,28.4,13.069,15.655,68.4,
18/10/2002,6.713,0.4,9.575,12.557,48.275,
19/10/2002,2.431,1.8,9.031,11.577,55.195,
20/10/2002,1.672,0,9.884,12.658,69.84,
21/10/2002,1.636,16.4,10.678,12.785,83.636,
22/10/2002,9.6,23,12.341,14.54,74.48,
23/10/2002,4.952,15.6,11.698,14.619,55.276,
24/10/2002,3.068,0.4,10.253,13.066,62.108,
25/10/2002,2.083,0.2,10.483,13.266,64.528,
26/10/2002,1.671,0,12.512,15.174,56.771,
27/10/2002,1.372,0,12.761,14.955,61.229,
28/10/2002,1.205,0,12.799,14.465,57.817,
29/10/2002,0.952,0,11.708,12.365,74.082,
30/10/2002,0.923,0,11.346,13.727,79.546,
31/10/2002,0.835,0,11.528,13.034,90.149,
1/11/2002,0.822,2.4,9.64,10.4,93.106,
2/11/2002,0.709,0,11.488,13.821,76.694,
3/11/2002,0.63,2,11.124,13.255,88.527,
4/11/2002,1.226,16.4,8.139,10.058,91.362,
5/11/2002,0.836,1,7.338,8.528,75.482,
6/11/2002,1.012,3.4,1.234,2.815,85.151,
7/11/2002,0.819,0.6,0.68,2.097,83.733,
8/11/2002,0.813,6.8,0.237,2.015,87.235,
9/11/2002,0.82,0.2,4.262,6.258,81.277,
10/11/2002,0.779,0.2,6.128,7.481,84.375,
11/11/2002,0.734,2.6,8.538,10.657,83.982,
12/11/2002,0.911,6.4,9.668,9.751,90.608,
13/11/2002,1.03,1.8,9.097,11.288,80.105,
14/11/2002,0.894,0,11.47,13.86,61.732,
15/11/2002,0.865,0,12.976,15.533,54.567,
16/11/2002,1.427,17.2,12.721,15.226,45.245,
17/11/2002,1.994,10,9.744,12.044,64.464,
18/11/2002,13.096,30.8,8.209,9.753,90.233,
19/11/2002,7.242,1.4,6.809,9.605,64.777,
20/11/2002,4.301,5.2,8.375,10.445,89.898,
21/11/2002,3.412,2.8,8.625,9.984,95.993,
22/11/2002,13.553,44.8,6.079,8.558,75.917,
23/11/2002,10.898,3.2,7.471,9.577,64.417,
24/11/2002,5.154,1.6,9.779,11.896,75.083,
25/11/2002,3.486,0,12.046,14.396,65.042,
26/11/2002,2.557,0.8,12.433,14.075,82.083,
27/11/2002,2.196,8.8,10.27,11.548,94.261,
28/11/2002,2.061,0,10.571,11.817,94.917,
29/11/2002,13.014,37,8.371,10.567,75.458,
30/11/2002,8.531,12.8,4.958,6.8,90.125,
1/12/2002,5.643,0.6,3.796,5.35,92.417,
2/12/2002,3.985,1.8,2.35,4.021,89.609,
3/12/2002,3.723,16.8,0.513,1.825,90.75,
4/12/2002,13.874,44.4,2.539,3.815,95.275,
5/12/2002,28.462,44,4.105,5.352,96.269,
6/12/2002,28.447,33,4.418,5.865,92.603,
7/12/2002,22.515,11.8,3.155,4.603,92.561,
8/12/2002,10.219,1.2,0.693,2.407,89.189,
9/12/2002,6.531,0.6,-1.9,-0.682,89.982,
10/12/2002,4.554,0.2,-4.19,-2.799,89.799,
11/12/2002,3.795,0.6,-3.313,-2.559,90.4,
12/12/2002,4.972,23.8,-1.064,-0.813,95.685,
13/12/2002,10.527,3,0.911,1.444,94.066,
14/12/2002,7.866,1.2,3.985,5.34,90.654,
15/12/2002,6.236,10.6,4.17,5.538,96.103,
16/12/2002,6.605,0,3.874,4.647,94.691,
17/12/2002,4.977,9,5.563,8.051,92.314,
18/12/2002,13.326,19.4,2.097,3.224,94.273,
19/12/2002,6.293,0,-0.103,1.814,88.114,
20/12/2002,3.712,0.2,0.284,0.939,87.939,
21/12/2002,3.072,0,3.84,3.154,93.026,
22/12/2002,2.895,1.8,5.013,6.12,91.733,
23/12/2002,3.427,1.2,7.758,8.929,90.321,
24/12/2002,3.213,7.2,6.756,6.916,95.483,
25/12/2002,5.006,16,3.35,4.184,97.275,
26/12/2002,5.134,0.2,3.991,4.782,96.318,
27/12/2002,3.477,1.4,6.019,7.731,88.11,
28/12/2002,6.081,17,6.765,8.491,83.816,
29/12/2002,5.591,1.4,7.162,7.962,90.441,
30/12/2002,3.427,0,7.443,9.558,63.941,
31/12/2002,7.197,37,5.364,6.761,88.595,
1/1/2003,6.858,5.2,5.469,7.025,88.274,
2/1/2003,3.104,1.8,7.007,9.848,67.023,
3/1/2003,3.375,0,8.627,10.878,51.274,
4/1/2003,2.177,0.2,6.502,8.784,43.698,
5/1/2003,2.922,8,0.832,2.538,66.694,
6/1/2003,2.926,1.2,-1.266,-0.223,90.621,
7/1/2003,2.701,0,-2.801,-2.43,91.98,
8/1/2003,2.683,0,-0.036,-1.678,90.487,
9/1/2003,2.682,0,-2.738,-2.98,95.771,
10/1/2003,2.303,0,-0.288,-2.318,91.794,
11/1/2003,2.307,0.2,-3.136,-3.111,92.244,
12/1/2003,2.034,0,-7.478,-6.577,81.157,
13/01/2003,2.012,0,-5.83,-4.87,80.162,
14/01/2003,2.088,0.4,1.831,4.028,81.074,
15/01/2003,2.63,8.8,5.905,5.597,86.199,
16/01/2003,2.955,53,2.555,4.122,91.987,
17/01/2003,3.505,3.6,1.7,1.022,95.155,
18/01/2003,3.34,3.8,0.941,0.498,96.896,
19/01/2003,3.273,0.6,1.626,2.975,84.429,
20/01/2003,3.153,0.2,4.11,4.956,81.028,
21/01/2003,11.017,42.6,3.89,5.65,81.441,
22/01/2003,12.582,26.2,4.215,5.958,78.684,
23/01/2003,5.823,14,-0.137,2.823,95.021,
24/01/2003,4.187,12.6,0.208,1.81,90.633,
25/01/2003,4.053,0,-0.387,1.695,80.396,
26/01/2003,3.138,0,-0.882,0.859,85.982,
27/01/2003,2.778,0,0.293,1.662,80.416,
28/01/2003,3.282,0.2,9.159,10.074,64.769,
29/01/2003,3.282,0,1.779,3.49,81.455,
30/01/2003,2.591,0.4,0.382,2.615,71.42,
31/01/2003,2.198,0,-1.975,-0.075,81.982,
1/2/2003,1.94,1.6,-3.805,-1.719,71.839,
2/2/2003,1.646,2.2,-4.795,-2.661,71.085,
3/2/2003,2.006,9,-0.787,2.212,71.65,
4/2/2003,12.756,53.2,1.47,3.178,84.511,
5/2/2003,4.689,3.8,-2.246,-0.949,79.846,
6/2/2003,3.717,9,-1.42,0.597,59.62,
7/2/2003,3.091,0.8,-0.024,1.541,59.027,
8/2/2003,2.947,0.6,1.316,3.599,66.378,
9/2/2003,2.733,0.6,-2.04,-0.398,87.104,
10/2/2003,2.192,0,-3.832,-2.061,81.332,
11/2/2003,2.095,0,-3.8,-1.849,82.287,
12/2/2003,1.835,0,-5.242,-3.267,74.255,
13/02/2003,1.587,0,-5.863,-4.403,84.302,
14/02/2003,1.562,0,-5.914,-4.356,85.943,
15/02/2003,1.417,4,-4.397,-2.99,71.272,
16/02/2003,1.305,0.2,-5.195,-3.515,81.214,
17/02/2003,1.292,0,-5.715,-3.955,84.57,
18/02/2003,1.086,0,-6.059,-4.092,75.167,
19/02/2003,1.132,0.2,-4.506,-2.698,66.188,
20/02/2003,1.052,0.4,-1.16,-0.305,63.986,
21/02/2003,0.984,0,0.861,1.914,63.67,
22/02/2003,1.025,0.2,-2.071,-0.422,88.547,
23/02/2003,0.948,0,-2.377,-0.537,78.598,
24/02/2003,0.824,0.2,-1.054,0.808,61.483,
25/02/2003,0.801,0,2.2,3.253,59.526,
26/02/2003,0.99,0.2,3.067,4.066,66.834,
27/02/2003,0.984,0.2,3.454,4.572,73.942,
28/02/2003,0.903,0,4.004,5.24,78.231,
1/3/2003,1.785,0.2,6.446,8.785,76.036,
2/3/2003,4.656,24.4,4.708,7.206,85.331,
3/3/2003,16.857,13.4,1.333,3.01,92.439,
4/3/2003,7.206,0.2,3.17,5.315,82.979,
5/3/2003,3.809,0.2,6.315,7.754,69.69,
6/3/2003,2.95,0,6.831,9.87,61.026,
7/3/2003,2.968,4.2,2.917,4.367,90.985,
8/3/2003,2.685,0.2,6.027,7.09,79.769,
9/3/2003,2.529,0.2,6.868,8.148,78.399,
10/3/2003,2.592,0.2,10.651,11.315,68.714,
11/3/2003,2.757,0,12.88,14.884,38.288,
12/3/2003,2.273,0,8.776,12.035,14.183,
13/03/2003,2.227,0,5.825,7.48,57.349,
14/03/2003,1.828,0,0.54,2.519,58.177,
15/03/2003,1.382,0,-1.937,0.085,59.935,
16/03/2003,1.369,3,-1.552,0.737,60.345,
17/03/2003,1.092,0,1.271,3.831,47.755,
18/03/2003,0.999,0.2,3.518,5.931,47.582,
19/03/2003,1.134,0,3.297,5.649,54.898,
20/03/2003,0.906,0,8.229,9.56,55.116,
21/03/2003,0.898,0,7.247,8.592,72.079,
22/03/2003,0.878,0,2.876,4.488,72.505,
23/03/2003,0.877,0.2,-0.754,1.949,49.15,
24/03/2003,0.87,0,7.251,8.375,27.824,
25/03/2003,0.818,0,11.932,13.316,40.397,
26/03/2003,0.876,0,10.348,13.112,38.986,
27/03/2003,0.882,0,11.07,12.396,52.288,
28/03/2003,0.893,0,10.959,12.351,55.724,
29/03/2003,1.022,0,9.685,11.158,69.897,
30/03/2003,1.162,0,10.533,11.493,75.025,
31/03/2003,1.296,1.6,9.101,10.314,82.118,
1/4/2003,1.277,0,7.284,9.281,64.722,
2/4/2003,2.225,33,6.459,8.611,66.713,
3/4/2003,7.238,22.8,1.749,3.026,92.509,
4/4/2003,7.413,8.6,0.663,2.354,92.123,
5/4/2003,4.464,0,4.047,6.327,63.146,
6/4/2003,3.133,0,5.887,7.442,70.077,
7/4/2003,2.365,2.2,-4.045,-2.195,81.747,
8/4/2003,2.013,1,-0.237,1.664,38.398,
9/4/2003,1.572,0,1.585,4.943,38.2,
10/4/2003,7.286,28.4,4.217,5.67,86.178,
11/4/2003,7.539,4.6,5.236,7.769,70.666,
12/4/2003,8.693,24.2,5.016,7.007,88.133,
13/04/2003,5.344,0.2,5.501,7.578,83.938,
14/04/2003,3.559,0.2,7.896,10.024,65.561,
15/04/2003,3.043,0.2,6.512,8.625,73.603,
16/04/2003,3.047,0,7.587,10.033,71.453,
17/04/2003,2.554,0.2,8.91,11.296,67.163,
18/04/2003,2.326,0,8.791,11.309,57.244,
19/04/2003,2.154,0,11.342,13.32,52.801,
20/04/2003,1.783,3,8.833,11.11,65.829,
21/04/2003,5.119,31.4,6.189,7.618,92.742,
22/04/2003,3.336,0,9.037,10.77,69.755,
23/04/2003,2.702,3.4,11.851,13.261,58.267,
24/04/2003,2.379,0.2,13.561,14.943,63.365,
25/04/2003,2.213,0,14.817,16.178,68.564,
26/04/2003,1.846,0,14.038,16.475,43.027,
27/04/2003,2.383,9.6,11.218,13.219,70.523,
28/04/2003,1.813,0,13.36,15.784,63.112,
29/04/2003,1.603,0,16.15,17.863,63.944,
30/04/2003,1.657,0,16.906,17.858,74.567,
1/5/2003,1.316,0,17.621,19.608,56.068,
2/5/2003,1.333,0,17.522,18.266,67.274,
3/5/2003,1.126,0,17.53,19.057,73.359,
4/5/2003,1.074,0.2,16.55,17.507,69.025,
5/5/2003,0.99,0.2,19.079,19.363,65.316,
6/5/2003,0.876,0,20.741,21.177,73.397,
7/5/2003,0.893,0,21.28,22.055,70.194,
8/5/2003,0.67,0,20.909,22.145,52.07,
9/5/2003,0.619,0,18.252,20.117,58.153,
10/5/2003,0.69,0.4,16.1,16.73,74.527,
11/5/2003,1.103,19.6,14.44,15.594,88.108,
12/5/2003,0.524,0.4,18.402,19.168,78.508,
13/05/2003,0.511,0,16.819,19.028,49.681,
14/05/2003,0.546,0,14.099,16.027,42.303,
15/05/2003,0.317,0.6,9.36,11.495,57.609,
16/05/2003,0.433,0,10.876,12.303,54.693,
17/05/2003,0.517,4.8,12.625,14.01,70.115,
18/05/2003,0.422,0.2,14.953,16.397,70.614,
19/05/2003,0.472,0.2,16.062,18.765,61.363,
20/05/2003,0.248,0,13.09,15.581,39.819,
21/05/2003,0.352,2.6,8.747,10.733,79.441,
22/05/2003,0.236,0,12.628,14.246,53.318,
23/05/2003,0.28,0,14.304,16.143,48.818,
24/05/2003,0.417,0.2,16.041,17.68,63.613,
25/05/2003,0.332,0.2,17.681,19.835,64.401,
26/05/2003,0.24,0,17.204,19.011,64.986,
27/05/2003,0.245,0.2,16.897,18.355,74.778,
